date,max_demand_met_mw,day_of_week,month,is_weekend,is_festival,is_pre,is_post,festival_name
2023-04-16,,6,4,1,0.0,0.0,1.0,Ambedkar Jayanti
2023-04-17,,0,4,0,0.0,0.0,0.0,none
2023-04-18,,1,4,0,0.0,0.0,0.0,none
2023-04-19,,2,4,0,0.0,0.0,0.0,none
2023-04-20,,3,4,0,0.0,1.0,0.0,Eid ul Fitr
2023-04-21,,4,4,0,0.0,1.0,0.0,Akshaya Tritiya
2023-04-22,,5,4,1,1.0,0.0,0.0,none
2023-04-23,,6,4,1,0.0,0.0,1.0,Akshaya Tritiya
2023-04-24,,0,4,0,0.0,0.0,1.0,Eid ul Fitr
2023-04-25,,1,4,0,0.0,0.0,0.0,none
2023-04-26,,2,4,0,0.0,0.0,0.0,none
2023-04-27,,3,4,0,0.0,0.0,0.0,none
2023-04-28,,4,4,0,0.0,0.0,0.0,none
2023-04-29,,5,4,1,0.0,1.0,0.0,Labour Day
